,Author,Book
"When i do good, i feel good. when i do bad, i feel bad. that's my religion. ― abraham lincoln", abraham lincoln,no book found
"Your assumptions are your windows on the world. scrub them off every once in a while, or the light won't come in. ― alan alda", alan alda,no book found
This is a new year. a new beginning. and things will change. ― taylor swift, taylor swift,no book found
You can't wait for inspiration. you have to go after it with a club. ― jack london, jack london,no book found
"There are much worse games to play. ― suzanne collins, mockingjay"," suzanne collins, mockingjay", mockingjay
ليس هناك كتابا أقرأه و لا أستفيد منه شيئا جديدا ، فحتى الكتاب التافه أستفيد من قراءته ، أني تعلمت شيئا جديدا هو ما هي التفاهة ؟ و كيف يكتب الكتاب التافهون ؟ و فيم يفكرون ؟ ― عباس محمود العقاد, عباس محمود العقاد,no book found
"We shall meet in the place where there is no darkness. ― george orwell, 1984"," george orwell, 1984",1984
Never miss a good chance to shut up. ― will rogers, will rogers,no book found
"My life has a superb cast, but i cannot figure out the plot. ― ashleigh brilliant", ashleigh brilliant,no book found
"When people say impossible, they usually mean improbable. ― leigh bardugo, siege and storm"," leigh bardugo, siege and storm", siege and storm
"If you have the words, there's always a chance that you'll find the way. ― seamus heaney, stepping stones: interviews with seamus heaney"," seamus heaney, stepping stones: interviews with seamus heaney", stepping stones: interviews with seamus heaney
"Many people will walk in and out of your life, but only true friends will leave footprints in your heart ― eleanor roosevelt", eleanor roosevelt,no book found
"When i look at my life and its secret colours, i feel like bursting into tears. ― albert camus, a happy death"," albert camus, a happy death", a happy death
"Dreams are always crushing when they don't come true. but it's the simple dreams that are often the most painful because they seem so personal, so reasonable, so attainable. you're always close enough to touch, but never quite close enough to hold and it's enough to break your heart. ― nicholas sparks, three weeks with my brother"," nicholas sparks, three weeks with my brother", three weeks with my brother
"When you trip over love, it is easy to get up. but when you fall in love, it is impossible to stand again. ― albert einstein", albert einstein,no book found
The best way out is always through. ― robert frost, robert frost,no book found
"The longer i live, the more i observe that carrying around anger is the most debilitating to the person who bears it. ― katharine graham", katharine graham,no book found
"Great things happen to those who don't stop believing, trying, learning, and being grateful. ― roy t. bennett, the light in the heart"," roy t. bennett, the light in the heart", the light in the heart
"You here to finish me off, sweetheart? ― suzanne collins, the hunger games"," suzanne collins, the hunger games", the hunger games
"There are three types of lies -- lies, damn lies, and statistics. ― benjamin disraeli", benjamin disraeli,no book found
I'm sure the universe is full of intelligent life. it's just been too intelligent to come here. ― arthur c. clarke, arthur c. clarke,no book found
Don't waste your time with explanations: people only hear what they want to hear. ― paulo coelho, paulo coelho,no book found
"Don't part with your illusions. when they are gone you may still exist, but you have ceased to live. ― mark twain", mark twain,no book found
"Grover was sniffing the wind, looking nervous. he fished out his acorns and threw them into the sand, then played his pipes. they rearranged themselves in a pattern that made no sense to me, but grover looked concerned. ""that's us,"" he said. ""those five nuts right there."" ""which one is me?"" i asked. ""the little deformed one,"" zoe suggested. ""oh, shut up. ― rick riordan, the titan’s curse"," rick riordan, the titan’s curse", the titan’s curse
"Someday, somewhere - anywhere, unfailingly, you'll find yourself, and that, and only that, can be the happiest or bitterest hour of your life. ― pablo neruda", pablo neruda,no book found
"Don't feel sorry for yourself. only assholes do that. ― haruki murakami, norwegian wood"," haruki murakami, norwegian wood", norwegian wood
"I wasn't actually in love, but i felt a sort of tender curiosity. ― f. scott fitzgerald, the great gatsby"," f. scott fitzgerald, the great gatsby", the great gatsby
It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets. ― voltaire, voltaire,no book found
‎though nobody can go back and make a new beginning... anyone can start over and make a new ending. ― chico xavier, chico xavier,no book found
"He smiled understandingly-much more than understandingly. it was one of those rare smiles with a quality of eternal reassurance in it, that you may come across four or five times in life. it faced--or seemed to face--the whole eternal world for an instant, and then concentrated on you with an irresistible prejudice in your favor. it understood you just as far as you wanted to be understood, believed in you as you would like to believe in yourself, and assured you that it had precisely the impression of you that, at your best, you hoped to convey. ― f. scott fitzgerald, the great gatsby"," f. scott fitzgerald, the great gatsby", the great gatsby
"Fall down again, bella?' no, emmett, i punched a werewolf in the face. ― stephenie meyer, eclipse"," stephenie meyer, eclipse", eclipse
"Time is an illusion. lunchtime doubly so. ― douglas adams, the hitchhiker’s guide to the galaxy"," douglas adams, the hitchhiker’s guide to the galaxy", the hitchhiker’s guide to the galaxy
"Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book. and then there are books like an imperial affliction, which you can't tell people about, books so special and rare and yours that advertising your affection feels like betrayal ― john green, the fault in our stars"," john green, the fault in our stars", the fault in our stars
"Don't you think it's better to be extremely happy for a short while, even if you lose it, than to be just okay for your whole life? ― audrey niffenegger, the time traveler's wife"," audrey niffenegger, the time traveler's wife", the time traveler's wife
"Whatever the cost of our libraries, the price is cheap compared to that of an ignorant nation. ― walter cronkite", walter cronkite,no book found
"I crave your mouth, your voice, your hair. silent and starving, i prowl through the streets. bread does not nourish me, dawn disrupts me, all day i hunt for the liquid measure of your steps. i hunger for your sleek laugh, your hands the color of a savage harvest, hunger for the pale stones of your fingernails, i want to eat your skin like a whole almond. i want to eat the sunbeam flaring in your lovely body, the sovereign nose of your arrogant face, i want to eat the fleeting shade of your lashes, and i pace around hungry, sniffing the twilight, hunting for you, for your hot heart, like a puma in the barrens of quitratue. ― pablo neruda", pablo neruda,no book found
"Oh well... i'd just been thinking, if you had died, you'd have been welcome to share my toilet. ― j.k. rowling, harry potter and the chamber of secrets"," j.k. rowling, harry potter and the chamber of secrets", harry potter and the chamber of secrets
"You know, when it works, love is pretty amazing. it's not overrated. there's a reason for all those songs. ― sarah dessen, this lullaby"," sarah dessen, this lullaby", this lullaby
"You never know what worse luck your bad luck has saved you from. ― cormac mccarthy, no country for old men"," cormac mccarthy, no country for old men", no country for old men
"Don't stop there. i suppose there are also, what, vampires and werewolves and zombies?"" ""of course there are. although you mostly find zombies farther south, where the voudun priests are."" ""what about mummies? do they only hang around egypt?"" ""don't be ridiculous. no one believes in mummies. ― cassandra clare, city of bones"," cassandra clare, city of bones", city of bones
The past has no power over the present moment. ― eckhart tolle, eckhart tolle,no book found
"You will do foolish things, but do them with enthusiasm. ― colette", colette,no book found
"Words are pale shadows of forgotten names. as names have power, words have power. words can light fires in the minds of men. words can wring tears from the hardest hearts. ― patrick rothfuss, the name of the wind"," patrick rothfuss, the name of the wind", the name of the wind
"You see things; you say, 'why?' but i dream things that never were; and i say 'why not? ― george bernard shaw, back to methuselah"," george bernard shaw, back to methuselah", back to methuselah
"Look after my heart - i've left it with you. ― stephenie meyer, eclipse"," stephenie meyer, eclipse", eclipse
"Growing apart doesn't change the fact that for a long time we grew side by side; our roots will always be tangled. i'm glad for that. ― ally condie, matched"," ally condie, matched", matched
"It’s probably not just by chance that i’m alone. it would be very hard for a man to live with me, unless he’s terribly strong. and if he’s stronger than i, i’m the one who can’t live with him. … i’m neither smart nor stupid, but i don’t think i’m a run-of-the-mill person. i’ve been in business without being a businesswoman, i’ve loved without being a woman made only for love. the two men i’ve loved, i think, will remember me, on earth or in heaven, because men always remember a woman who caused them concern and uneasiness. i’ve done my best, in regard to people and to life, without precepts, but with a taste for justice. ― coco chanel", coco chanel,no book found
"Blessed is he who expects nothing, for he shall never be disappointed. ― alexander pope", alexander pope,no book found
"Why, sometimes i've believed as many as six impossible things before breakfast. ― lewis carroll, alice in wonderland"," lewis carroll, alice in wonderland", alice in wonderland
"The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too. ― ernest hemingway, men without women"," ernest hemingway, men without women", men without women
"Do you think i am an automaton? — a machine without feelings? and can bear to have my morsel of bread snatched from my lips, and my drop of living water dashed from my cup? do you think, because i am poor, obscure, plain, and little, i am soulless and heartless? you think wrong! — i have as much soul as you — and full as much heart! and if god had gifted me with some beauty and much wealth, i should have made it as hard for you to leave me, as it is now for me to leave you. i am not talking to you now through the medium of custom, conventionalities, nor even of mortal flesh: it is my spirit that addresses your spirit; just as if both had passed through the grave, and we stood at god's feet, equal — as we are! ― charlotte brontë, jane eyre"," charlotte brontë, jane eyre", jane eyre
Woke up this morning with a terrific urge to lie in bed all day and read. ― raymond carver, raymond carver,no book found
"You pierce my soul. i am half agony, half hope...i have loved none but you. ― jane austen, persuasion"," jane austen, persuasion", persuasion
"Sometimes you make choices in life and sometimes choices make you. ― gayle forman, if i stay"," gayle forman, if i stay", if i stay
"Love does not begin and end the way we seem to think it does. love is a battle, love is a war; love is a growing up. ― james a. baldwin", james a. baldwin,no book found
"Ever had a flying burrito hit you? well, it's a deadly projectile, right up there with cannonballs and grenades. ― rick riordan, the titan’s curse"," rick riordan, the titan’s curse", the titan’s curse
"Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born. ― anais nin, the diary of anaïs nin, vol. 1: 1931-1934"," anais nin, the diary of anaïs nin, vol. 1: 1931-1934", the diary of anaïs nin
"Do what is right, not what is easy nor what is popular. ― roy t. bennett, the light in the heart"," roy t. bennett, the light in the heart", the light in the heart
"You can spend minutes, hours, days, weeks, or even months over-analyzing a situation; trying to put the pieces together, justifying what could've, would've happened... or you can just leave the pieces on the floor and move the fuck on. ― tupac shakur", tupac shakur,no book found
Trust yourself. you know more than you think you do. ― benjamin spock, benjamin spock,no book found
"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present. ― roy t. bennett, the light in the heart"," roy t. bennett, the light in the heart", the light in the heart
"Men always say that as the defining compliment, don’t they? she’s a cool girl. being the cool girl means i am a hot, brilliant, funny woman who adores football, poker, dirty jokes, and burping, who plays video games, drinks cheap beer, loves threesomes and anal sex, and jams hot dogs and hamburgers into her mouth like she’s hosting the world’s biggest culinary gang bang while somehow maintaining a size 2, because cool girls are above all hot. hot and understanding. cool girls never get angry; they only smile in a chagrined, loving manner and let their men do whatever they want. go ahead, shit on me, i don’t mind, i’m the cool girl. men actually think this girl exists. maybe they’re fooled because so many women are willing to pretend to be this girl. for a long time cool girl offended me. i used to see men – friends, coworkers, strangers – giddy over these awful pretender women, and i’d want to sit these men down and calmly say: you are not dating a woman, you are dating a woman who has watched too many movies written by socially awkward men who’d like to believe that this kind of woman exists and might kiss them. i’d want to grab the poor guy by his lapels or messenger bag and say: the bitch doesn’t really love chili dogs that much – no one loves chili dogs that much! and the cool girls are even more pathetic: they’re not even pretending to be the woman they want to be, they’re pretending to be the woman a man wants them to be. oh, and if you’re not a cool girl, i beg you not to believe that your man doesn’t want the cool girl. it may be a slightly different version – maybe he’s a vegetarian, so cool girl loves seitan and is great with dogs; or maybe he’s a hipster artist, so cool girl is a tattooed, bespectacled nerd who loves comics. there are variations to the window dressing, but believe me, he wants cool girl, who is basically the girl who likes every fucking thing he likes and doesn’t ever complain. (how do you know you’re not cool girl? because he says things like: i like strong women. if he says that to you, he will at some point fuck someone else. because i like strong women is code for i hate strong women.) ― gillian flynn, gone girl"," gillian flynn, gone girl", gone girl
"I've got a stele we can use. who wants to do me?"" ""a regrettable choice of words,"" muttered magnus. ― cassandra clare, city of ashes"," cassandra clare, city of ashes", city of ashes
"Words can be like x-rays if you use them properly – they’ll go through anything. you read and you’re pierced. ― aldous huxley, brave new world"," aldous huxley, brave new world", brave new world
"I may die young, but at least i'll die smart. ― john green, looking for alaska"," john green, looking for alaska", looking for alaska
When love is not madness it is not love. ― pedro calderon de la barca, pedro calderon de la barca,no book found
"It's like everyone tells a story about themselves inside their own head. always. all the time. that story makes you what you are. we build ourselves out of that story. ― patrick rothfuss, the name of the wind"," patrick rothfuss, the name of the wind", the name of the wind
"It's all right to love someone who doesn't love you back, as long as they're worth you loving them. as long as they deserve it. ― cassandra clare, clockwork angel"," cassandra clare, clockwork angel", clockwork angel
"Success is not how high you have climbed, but how you make a positive difference to the world. ― roy t. bennett, the light in the heart"," roy t. bennett, the light in the heart", the light in the heart
"He must have known i'd want to leave you."" ""no, he must have known you would always want to come back. ― j.k. rowling, harry potter and the deathly hallows"," j.k. rowling, harry potter and the deathly hallows", harry potter and the deathly hallows
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky. ― rabindranath tagore, stray birds"," rabindranath tagore, stray birds", stray birds
"People say nothing is impossible, but i do nothing every day. ― a.a. milne, winnie-the-pooh"," a.a. milne, winnie-the-pooh", winnie-the-pooh
God has no religion. ― mahatma gandhi, mahatma gandhi,no book found
"I don't want to repeat my innocence. i want the pleasure of losing it again. ― f. scott fitzgerald, this side of paradise"," f. scott fitzgerald, this side of paradise", this side of paradise
"You know, minister, i disagree with dumbledore on many counts...but you cannot deny he's got style... ― j.k. rowling, harry potter and the order of the phoenix"," j.k. rowling, harry potter and the order of the phoenix", harry potter and the order of the phoenix
"What is hell? i maintain that it is the suffering of being unable to love. ― fyodor dostoevsky, the brothers karamazov"," fyodor dostoevsky, the brothers karamazov", the brothers karamazov
"Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric. ― bertrand russell", bertrand russell,no book found
"Nothing in life is to be feared, it is only to be understood. now is the time to understand more, so that we may fear less. ― marie curie", marie curie,no book found
"When i say it's you i like, i'm talking about that part of you that knows that life is far more than anything you can ever see or hear or touch. that deep part of you that allows you to stand for those things without which humankind cannot survive. love that conquers hate, peace that rises triumphant over war, and justice that proves more powerful than greed. ― fred rogers", fred rogers,no book found
"I can't eat and i can't sleep. i'm not doing well in terms of being a functional human, you know? ― ned vizzini, it's kind of a funny story"," ned vizzini, it's kind of a funny story", it's kind of a funny story
"But if thought corrupts language, language can also corrupt thought. ― george orwell, 1984"," george orwell, 1984",1984
"Second star to the right and straight on 'til morning.  ― j.m. barrie, peter pan"," j.m. barrie, peter pan", peter pan
"Those who have a 'why' to live, can bear with almost any 'how'. ― viktor e. frankl, man’s search for meaning"," viktor e. frankl, man’s search for meaning", man’s search for meaning
"I'd rather be hated for who i am, than loved for who i am not. ― kurt cobain", kurt cobain,no book found
"If i am really a part of your dream, you'll come back one day. ― paulo coelho", paulo coelho,no book found
"Never marry at all, dorian. men marry because they are tired, women, because they are curious: both are disappointed. ― oscar wilde, the picture of dorian gray"," oscar wilde, the picture of dorian gray", the picture of dorian gray
"The voice of the sea speaks to the soul. ― kate chopin, the awakening"," kate chopin, the awakening", the awakening
"Holding eleanor's hand was like holding a butterfly. or a heartbeat. like holding something complete, and completely alive. ― rainbow rowell, eleanor & park"," rainbow rowell, eleanor & park", eleanor & park
"We shouldn't be looking for heroes, we should be looking for good ideas. ― noam chomsky", noam chomsky,no book found
"The only real prison is fear, and the only real freedom is freedom from fear ― aung san suu kyi", aung san suu kyi,no book found
"It doesn't matter. i have books, new books, and i can bear anything as long as there are books. ― jo walton, among others"," jo walton, among others", among others
Whenever you feel like criticizing any one...just remember that all the people in this world haven't had the advantages that you've had. ― f. scott fitzgerald, f. scott fitzgerald,no book found
"You only live twice: once when you are born and once when you look death in the face ― ian fleming, you only live twice"," ian fleming, you only live twice", you only live twice
Fairy tales do not tell children the dragons exist. children already know that dragons exist. fairy tales tell children the dragons can be killed. ― g.k. chesterton, g.k. chesterton,no book found
"Ignore those that make you fearful and sad, that degrade you back towards disease and death. ― rumi jalalud-din", rumi jalalud-din,no book found
Sometimes even to live is an act of courage. ― lucius annaeus seneca, lucius annaeus seneca,no book found
I get a warm feeling among my books. ― anthony powell, anthony powell,no book found
"In my next life i want to live my life backwards. you start out dead and get that out of the way. then you wake up in an old people's home feeling better every day. you get kicked out for being too healthy, go collect your pension, and then when you start work, you get a gold watch and a party on your first day. you work for 40 years until you're young enough to enjoy your retirement. you party, drink alcohol, and are generally promiscuous, then you are ready for high school. you then go to primary school, you become a kid, you play. you have no responsibilities, you become a baby until you are born. and then you spend your last 9 months floating in luxurious spa-like conditions with central heating and room service on tap, larger quarters every day and then voila! you finish off as an orgasm! ― woody allen", woody allen,no book found
"He awoke each morning with the desire to do right, to be a good and meaningful person, to be, as simple as it sounded and as impossible as it actually was, happy. and during the course of each day his heart would descend from his chest into his stomach. by early afternoon he was overcome by the feeling that nothing was right, or nothing was right for him, and by the desire to be alone. by evening he was fulfilled: alone in the magnitude of his grief, alone in his aimless guilt, alone even in his loneliness. i am not sad, he would repeat to himself over and over, i am not sad . as if he might one day convince himself. or fool himself. or convince others--the only thing worse than being sad is for others to know that you are sad. i am not sad. i am not sad. because his life had unlimited potential for happiness, insofar as it was an empty white room. he would fall asleep with his heart at the foot of his bed, like some domesticated animal that was no part of him at all. and each morning he would wake with it again in the cupboard of his rib cage, having become a little heavier, a little weaker, but still pumping. and by the midafternoon he was again overcome with the desire to be somewhere else, someone else, someone else somewhere else. i am not sad.  ― jonathan safran foer, everything is illuminated"," jonathan safran foer, everything is illuminated", everything is illuminated
"Catherine earnshaw, may you not rest as long as i am living. you said i killed you--haunt me then. the murdered do haunt their murderers. i believe--i know that ghosts have wandered the earth. be with me always--take any form--drive me mad. only do not leave me in this abyss, where i cannot find you! oh, god! it is unutterable! i cannot live without my life! i cannot live without my soul! ― emily brontë, wuthering heights"," emily brontë, wuthering heights", wuthering heights
"Sorrow is how we learn to love. your heart isn't breaking. it hurts because it's getting larger. the larger it gets, the more love it holds. ― rita mae brown, riding shotgun"," rita mae brown, riding shotgun", riding shotgun
"Our lives are not our own. we are bound to others, past and present, and by each crime and every kindness, we birth our future. ― david mitchell, cloud atlas"," david mitchell, cloud atlas", cloud atlas
"If you liked being a teenager, there's something really wrong with you. ― stephen king", stephen king,no book found
"Nothing behind me, everything ahead of me, as is ever so on the road. ― jack kerouac, on the road"," jack kerouac, on the road", on the road
"If all the world hated you and believed you wicked, while your own conscience approved of you and absolved you from guilt, you would not be without friends. ― charlotte brontë, jane eyre"," charlotte brontë, jane eyre", jane eyre
"The question is not what you look at, but what you see. ― henry david thoreau", henry david thoreau,no book found
"If everybody is thinking alike, then somebody isn't thinking. ― george s. patton", george s. patton,no book found
"This is where it all begins. everything starts here, today. ― david nicholls, one day"," david nicholls, one day", one day
"Because,' she said, 'when you're scared but you still do it anyway, that's brave. ― neil gaiman, coraline"," neil gaiman, coraline", coraline
"We don’t need a list of rights and wrongs, tables of dos and don’ts: we need books, time, and silence. thou shalt not is soon forgotten, but once upon a time lasts forever. ― philip pullman", philip pullman,no book found
"I want everyone to meet you. you're my favorite person of all time. ― rainbow rowell, eleanor & park"," rainbow rowell, eleanor & park", eleanor & park
"So we shall let the reader answer this question for himself: who is the happier man, he who has braved the storm of life and lived or he who has stayed securely on shore and merely existed? ― hunter s. thompson", hunter s. thompson,no book found
"I don’t know what’s worse: to not know what you are and be happy, or to become what you’ve always wanted to be, and feel alone. ― daniel keyes, flowers for algernon"," daniel keyes, flowers for algernon", flowers for algernon
"You never know what life is like, until you have lived it. ― marilyn monroe", marilyn monroe,no book found
"Reading is like thinking, like praying, like talking to a friend, like expressing your ideas, like listening to other people's ideas, like listening to music, like looking at the view, like taking a walk on the beach. ― roberto bolaño, 2666"," roberto bolaño, 2666",2666
It is better to offer no excuse than a bad one. ― george washington, george washington,no book found
"I feel like someone breathed new air into my lungs. i am not abnegation. i am not dauntless. i am divergent. ― veronica roth, divergent"," veronica roth, divergent", divergent
"There is a saying in tibetan, 'tragedy should be utilized as a source of strength.' no matter what sort of difficulties, how painful experience is, if we lose our hope, that's our real disaster. ― dalai lama xiv", dalai lama xiv,no book found
"Man often becomes what he believes himself to be. if i keep on saying to myself that i cannot do a certain thing, it is possible that i may end by really becoming incapable of doing it. on the contrary, if i have the belief that i can do it, i shall surely acquire the capacity to do it even if i may not have it at the beginning. ― mahatma gandhi", mahatma gandhi,no book found
"The darkling slumped back in his chair. fine, he said with a weary shrug. make me your villain. ― leigh bardugo, shadow and bone"," leigh bardugo, shadow and bone", shadow and bone
"It's only those who do nothing that make no mistakes, i suppose. ― joseph conrad, an outcast of the islands"," joseph conrad, an outcast of the islands", an outcast of the islands
"There are perhaps many causes worth dying for, but to me, certainly, there are none worth killing for. ― albert dietrich, army gi, pacifist co: the world war ii letters of frank dietrich and albert dietrich"," albert dietrich, army gi, pacifist co: the world war ii letters of frank dietrich and albert dietrich", army gi
No one is useless in this world who lightens the burdens of another. ― charles dickens, charles dickens,no book found
The mind i love must have wild places. ― katherine mansfield, katherine mansfield,no book found
"Throw your dreams into space like a kite, and you do not know what it will bring back, a new life, a new friend, a new love, a new country. ― anais nin", anais nin,no book found
"Crows remember human faces. they remember the people who feed them, who are kind to them. and the people who wrong them too. they don’t forget. they tell each other who to look after and who to watch out for. ― leigh bardugo, crooked kingdom"," leigh bardugo, crooked kingdom", crooked kingdom
Every weirdo in the world is on my wavelength. ― thomas pynchon, thomas pynchon,no book found
"We are all born sexual creatures,thank god, but it's a pity so many people despise and crush this natural gift. ― marilyn monroe", marilyn monroe,no book found
To give pleasure to a single heart by a single act is better than a thousand heads bowing in prayer. ― mahatma gandhi, mahatma gandhi,no book found
"The mass of men lead lives of quiet desperation. what is called resignation is confirmed desperation. from the desperate city you go into the desperate country, and have to console yourself with the bravery of minks and muskrats. a stereotyped but unconscious despair is concealed even under what are called the games and amusements of mankind. there is no play in them, for this comes after work. but it is a characteristic of wisdom not to do desperate things.. ― henry david thoreau, civil disobedience and other essays"," henry david thoreau, civil disobedience and other essays", civil disobedience and other essays
"I hope you find someone you can't live without.i really do. and i hope you never have to know what it's like to have to try and live without them. ― kiera cass, the selection"," kiera cass, the selection", the selection
"Happiness is not the absence of problems, it's the ability to deal with them. ― steve maraboli, life, the truth, and being free"," steve maraboli, life, the truth, and being free", life
"You - you alone will have the stars as no one else has them...in one of the stars i shall be living. in one of them i shall be laughing. and so it will be as if all the stars were laughing, when you look at the sky at night...you - only you - will have stars that can laugh. ― antoine de saint-exupéry, el principito"," antoine de saint-exupéry, el principito", el principito
Ask for what you want and be prepared to get it! ― maya angelou, maya angelou,no book found
"What's terrible is to pretend that second-rate is first-rate. to pretend that you don't need love when you do; or you like your work when you know quite well you're capable of better. ― doris lessing, the golden notebook"," doris lessing, the golden notebook", the golden notebook
"What is that feeling when you're driving away from people and they recede on the plain till you see their specks dispersing? - it's the too-huge world vaulting us, and it's good-bye. but we lean forward to the next crazy venture beneath the skies. ― jack kerouac, on the road"," jack kerouac, on the road", on the road
"Others have seen what is and asked why. i have seen what could be and asked why not.  ― pablo picasso, pablo picasso: metamorphoses of the human form : graphic works, 1895-1972"," pablo picasso, pablo picasso: metamorphoses of the human form : graphic works, 1895-1972", pablo picasso: metamorphoses of the human form : graphic works
"Science is not only compatible with spirituality; it is a profound source of spirituality. ― carl sagan, the demon-haunted world: science as a candle in the dark"," carl sagan, the demon-haunted world: science as a candle in the dark", the demon-haunted world: science as a candle in the dark
"There are three questions every woman should be able to answer yes to before they commit to a man. if you answer no to any of the three questions, run like hell."" [...] ""does he treat you with respect at all times? that's the first question. the second question is, if he is the exact same person twenty years from now that he is today, would you still want to marry him? and finally, does he inspire to be a better person? you find someone you can answer yes to all three, then you've found a good man. ― colleen hoover, slammed"," colleen hoover, slammed", slammed
"I wonder how many people don't get the one they want, but end up with the one they're supposed to be with. ― fannie flagg, fried green tomatoes at the whistle stop cafe"," fannie flagg, fried green tomatoes at the whistle stop cafe", fried green tomatoes at the whistle stop cafe
"An unbreakable vow?"" said ron, looking stunned. ""nah, he can’t have.... are you sure?"" ""yes i’m sure,"" said harry. ""why, what does it mean?"" ""well, you can’t break an unbreakable vow..."" ""i’d worked that much out for myself, funnily enough. ― j.k. rowling, harry potter and the half-blood prince"," j.k. rowling, harry potter and the half-blood prince", harry potter and the half-blood prince
"Some walks you have to take alone. ― suzanne collins, mockingjay"," suzanne collins, mockingjay", mockingjay
"But i didn't understand then. that i could hurt somebody so badly she would never recover. that a person can, just by living, damage another human being beyond repair. ― haruki murakami", haruki murakami,no book found
The advantage of a bad memory is that one enjoys several times the same good things for the first time. ― friedrich nietzsche, friedrich nietzsche,no book found
I have nothing to declare except my genius. ― oscar wilde, oscar wilde,no book found
"This is how you do it: you sit down at the keyboard and you put one word after another until its done. it's that easy, and that hard. ― neil gaiman", neil gaiman,no book found
"Until you make the unconscious conscious, it will direct your life and you will call it fate. ― c.g. jung", c.g. jung,no book found
"All good books are alike in that they are truer than if they had really happened and after you are finished reading one you will feel that all that happened to you and afterwards it all belongs to you: the good and the bad, the ecstasy, the remorse and sorrow, the people and the places and how the weather was. if you can get so that you can give that to people, then you are a writer. ― ernest hemingway", ernest hemingway,no book found
"At the end of the day, we can endure much more than we think we can. ― frida kahlo", frida kahlo,no book found
"I don't know who invented high heels, but all women owe him a lot! ― marilyn monroe", marilyn monroe,no book found
Hope is a waking dream. ― aristotle, aristotle,no book found
"You care so much you feel as though you will bleed to death with the pain of it. ― j.k. rowling, harry potter and the order of the phoenix"," j.k. rowling, harry potter and the order of the phoenix", harry potter and the order of the phoenix
"Patience, grasshopper,"" said maia. ""good things come to those who wait."" ""i always thought that was 'good things come to those who do the wave,'"" said simon. ""no wonder i've been so confused all my life. ― cassandra clare, city of glass"," cassandra clare, city of glass", city of glass
The good thing about science is that it's true whether or not you believe in it. ― neil degrasse tyson, neil degrasse tyson,no book found
"I will love you as a thief loves a gallery and as a crow loves a murder, as a cloud loves bats and as a range loves braes. i will love you as misfortune loves orphans, as fire loves innocence and as justice loves to sit and watch while everything goes wrong. i will love you as a battlefield loves young men and as peppermints love your allergies, and i will love you as the banana peel loves the shoe of a man who was just struck by a shingle falling off a house. i will love you as a volunteer fire department loves rushing into burning buildings and as burning buildings love to chase them back out, and as a parachute loves to leave a blimp and as a blimp operator loves to chase after it. i will love you as a dagger loves a certain person’s back, and as a certain person loves to wear dagger proof tunics, and as a dagger proof tunic loves to go to a certain dry cleaning facility, and how a certain employee of a dry cleaning facility loves to stay up late with a pair of binoculars, watching a dagger factory for hours in the hopes of catching a burglar, and as a burglar loves sneaking up behind people with binoculars, suddenly realizing that she has left her dagger at home. i will love you as a drawer loves a secret compartment, and as a secret compartment loves a secret, and as a secret loves to make a person gasp, and as a gasping person loves a glass of brandy to calm their nerves, and as a glass of brandy loves to shatter on the floor, and as the noise of glass shattering loves to make someone else gasp, and as someone else gasping loves a nearby desk to lean against, even if leaning against it presses a lever that loves to open a drawer and reveal a secret compartment. i will love you until all such compartments are discovered and opened, and until all the secrets have gone gasping into the world. i will love you until all the codes and hearts have been broken and until every anagram and egg has been unscrambled. i will love you until every fire is extinguised and until every home is rebuilt from the handsomest and most susceptible of woods, and until every criminal is handcuffed by the laziest of policemen. i will love until m. hates snakes and j. hates grammar, and i will love you until c. realizes s. is not worthy of his love and n. realizes he is not worthy of the v. i will love you until the bird hates a nest and the worm hates an apple, and until the apple hates a tree and the tree hates a nest, and until a bird hates a tree and an apple hates a nest, although honestly i cannot imagine that last occurrence no matter how hard i try. i will love you as we grow older, which has just happened, and has happened again, and happened several days ago, continuously, and then several years before that, and will continue to happen as the spinning hands of every clock and the flipping pages of every calendar mark the passage of time, except for the clocks that people have forgotten to wind and the calendars that people have forgotten to place in a highly visible area. i will love you as we find ourselves farther and farther from one another, where we once we were so close that we could slip the curved straw, and the long, slender spoon, between our lips and fingers respectively. i will love you until the chances of us running into one another slip from slim to zero, and until your face is fogged by distant memory, and your memory faced by distant fog, and your fog memorized by a distant face, and your distance distanced by the memorized memory of a foggy fog. i will love you no matter where you go and who you see, no matter where you avoid and who you don’t see, and no matter who sees you avoiding where you go. i will love you no matter what happens to you, and no matter how i discover what happens to you, and no matter what happens to me as i discover this, and now matter how i am discovered after what happens to me as i am discovering this. ― lemony snicket", lemony snicket,no book found
"I like people too much or not at all. i've got to go down deep, to fall into people, to really know them. ― sylvia plath, the unabridged journals of sylvia plath"," sylvia plath, the unabridged journals of sylvia plath", the unabridged journals of sylvia plath
