,Author,Book
"I am nothing special, of this i am sure. i am a common man with common thoughts and i've led a common life. there are no monuments dedicated to me and my name will soon be forgotten, but i've loved another with all my heart and soul, and to me, this has always been enough.. ― nicholas sparks, the notebook"," nicholas sparks, the notebook", the notebook
"Whenever i feel the need to exercise, i lie down until it goes away. ― paul   terry", paul   terry,no book found
"Have you fallen in love with the wrong person yet?' jace said, ""unfortunately, lady of the haven, my one true love remains myself."" ...""at least,"" she said, ""you don't have to worry about rejection, jace wayland."" ""not necessarily. i turn myself down occasionally, just to keep it interesting. ― cassandra clare, city of bones"," cassandra clare, city of bones", city of bones
"The truth is, everyone is going to hurt you. you just got to find the ones worth suffering for. ― bob marley", bob marley,no book found
"Sometimes people are beautiful. not in looks. not in what they say. just in what they are. ― markus zusak, i am the messenger"," markus zusak, i am the messenger", i am the messenger
"Love looks not with the eyes, but with the mind; and therefore is wing'd cupid painted blind. nor hath love's mind of any judgment taste; wings and no eyes figure unheedy haste: and therefore is love said to be a child, because in choice he is so oft beguil'd. ― william shakespeare, a midsummer night’s dream"," william shakespeare, a midsummer night’s dream", a midsummer night’s dream
"You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. i like my choices. ― john green, the fault in our stars"," john green, the fault in our stars", the fault in our stars
Folks are usually about as happy as they make their minds up to be. ― abraham lincoln, abraham lincoln,no book found
"Do what you can, with what you have, where you are. ― theodore roosevelt", theodore roosevelt,no book found
"The more that you read, the more things you will know. the more that you learn, the more places you'll go. ― dr. seuss, i can read with my eyes shut!"," dr. seuss, i can read with my eyes shut!", i can read with my eyes shut!
There is no friend as loyal as a book. ― ernest hemingway, ernest hemingway,no book found
"The story so far: in the beginning the universe was created. this has made a lot of people very angry and been widely regarded as a bad move. ― douglas adams, the restaurant at the end of the universe"," douglas adams, the restaurant at the end of the universe", the restaurant at the end of the universe
"Success is not final, failure is not fatal: it is the courage to continue that counts. ― winston s. churchill", winston s. churchill,no book found
"One good thing about music, when it hits you, you feel no pain. ― bob marley", bob marley,no book found
"I find television very educating. every time somebody turns on the set, i go into the other room and read a book. ― groucho marx", groucho marx,no book found
"Love is like the wind, you can't see it but you can feel it. ― nicholas sparks, a walk to remember"," nicholas sparks, a walk to remember", a walk to remember
"So, this is my life. and i want you to know that i am both happy and sad and i'm still trying to figure out how that could be. ― stephen chbosky, the perks of being a wallflower"," stephen chbosky, the perks of being a wallflower", the perks of being a wallflower
"All we have to decide is what to do with the time that is given us. ― j.r.r. tolkien, the fellowship of the ring"," j.r.r. tolkien, the fellowship of the ring", the fellowship of the ring
"I carry your heart with me (i carry it in my heart)i am never without it (anywhere i go you go,my dear; and whatever is done by only me is your doing,my darling) i fear no fate (for you are my fate,my sweet)i want no world (for beautiful you are my world,my true) and it's you are whatever a moon has always meant and whatever a sun will always sing is you here is the deepest secret nobody knows (here is the root of the root and the bud of the bud and the sky of the sky of a tree called life; which grows higher than the soul can hope or mind can hide) and this is the wonder that's keeping the stars apart i carry your heart (i carry it in my heart) ― e.e. cummings", e.e. cummings,no book found
"Hold fast to dreams, for if dreams die life is a broken-winged bird, that cannot fly. ― langston hughes", langston hughes,no book found
"Count your age by friends, not years. count your life by smiles, not tears. ― john lennon", john lennon,no book found
"Sometimes you wake up. sometimes the fall kills you. and sometimes, when you fall, you fly. ― neil gaiman, the sandman, vol. 6: fables & reflections"," neil gaiman, the sandman, vol. 6: fables & reflections", the sandman
All that we see or seem is but a dream within a dream. ― edgar allan poe, edgar allan poe,no book found
Happiness is not something ready made. it comes from your own actions. ― dalai lama xiv, dalai lama xiv,no book found
Maybe our favorite quotations say more about us than about the stories and people we're quoting. ― john green, john green,no book found
"The christian does not think god will love us because we are good, but that god will make us good because he loves us. ― c.s. lewis", c.s. lewis,no book found
"What a treacherous thing to believe that a person is more than a person. ― john green, paper towns"," john green, paper towns", paper towns
"Indifference and neglect often do much more damage than outright dislike. ― j.k. rowling, harry potter and the order of the phoenix"," j.k. rowling, harry potter and the order of the phoenix", harry potter and the order of the phoenix
"Above all, don't lie to yourself. the man who lies to himself and listens to his own lie comes to a point that he cannot distinguish the truth within him, or around him, and so loses all respect for himself and for others. and having no respect he ceases to love. ― fyodor dostoevsky, the brothers karamazov"," fyodor dostoevsky, the brothers karamazov", the brothers karamazov
"I like the night. without the dark, we'd never see the stars. ― stephenie meyer, twilight"," stephenie meyer, twilight", twilight
"The only thing worse than a boy who hates you: a boy that loves you. ― markus zusak, the book thief"," markus zusak, the book thief", the book thief
"In the depth of winter, i finally learned that within me there lay an invincible summer. ― albert camus", albert camus,no book found
"Wit beyond measure is man’s greatest treasure. ― j.k. rowling, harry potter and the order of the phoenix"," j.k. rowling, harry potter and the order of the phoenix", harry potter and the order of the phoenix
"Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. no, read in order to live. ― gustave flaubert", gustave flaubert,no book found
"The weak can never forgive. forgiveness is the attribute of the strong. ― mahatma gandhi, all men are brothers: autobiographical reflections"," mahatma gandhi, all men are brothers: autobiographical reflections", all men are brothers: autobiographical reflections
"We are only as strong as we are united, as weak as we are divided. ― j.k. rowling, harry potter and the goblet of fire"," j.k. rowling, harry potter and the goblet of fire", harry potter and the goblet of fire
Peace begins with a smile.. ― mother teresa, mother teresa,no book found
"So, i guess we are who we are for alot of reasons. and maybe we'll never know most of them. but even if we don't have the power to choose where we come from, we can still choose where we go from there. we can still do things. and we can try to feel okay about them. ― stephen chbosky, the perks of being a wallflower"," stephen chbosky, the perks of being a wallflower", the perks of being a wallflower
"If you were half as funny as you think you are, you'd be twice as funny as you really are. ― h.n. turteltaub, the sacred land"," h.n. turteltaub, the sacred land", the sacred land
"Imagining the future is a kind of nostalgia. (...) you spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. you just use the future to escape the present. ― john green, looking for alaska"," john green, looking for alaska", looking for alaska
"You are my best friend as well as my lover, and i do not know which side of you i enjoy the most. i treasure each side, just as i have treasured our life together. ― nicholas sparks, the notebook"," nicholas sparks, the notebook", the notebook
"You will always be fond of me. i represent to you all the sins you never had the courage to commit. ― oscar wilde, the picture of dorian gray"," oscar wilde, the picture of dorian gray", the picture of dorian gray
"You are, and always have been, my dream. ― nicholas sparks, the notebook"," nicholas sparks, the notebook", the notebook
"I would always rather be happy than dignified. ― charlotte brontë, jane eyre"," charlotte brontë, jane eyre", jane eyre
"You're going to come across people in your life who will say all the right words at all the right times. but in the end, it's always their actions you should judge them by. it's actions, not words, that matter. ― nicholas sparks, the rescue"," nicholas sparks, the rescue", the rescue
"Is it true that you shouted at professor umbridge?"" ""yes."" ""you called her a liar?"" ""yes."" ""you told her he who must not be named is back?"" ""yes."" ""have a biscuit, potter. ― j.k. rowling, harry potter and the order of the phoenix"," j.k. rowling, harry potter and the order of the phoenix", harry potter and the order of the phoenix
"Friendship is unnecessary, like philosophy, like art.... it has no survival value; rather it is one of those things which give value to survival. ― c.s. lewis, the four loves"," c.s. lewis, the four loves", the four loves
And those who were seen dancing were thought to be insane by those who could not hear the music. ― friedrich nietzsche, friedrich nietzsche,no book found
"I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool. ― f. scott fitzgerald, the great gatsby"," f. scott fitzgerald, the great gatsby", the great gatsby
"We came to see jace. is he alright?"" ""i don't know,"" magnus said. ""does he normally just lie on the floor like that without moving? ― cassandra clare, city of ashes"," cassandra clare, city of ashes", city of ashes
"Facts do not cease to exist because they are ignored. ― aldous huxley, complete essays, vol. ii: 1926-1929"," aldous huxley, complete essays, vol. ii: 1926-1929", complete essays
"Who controls the past controls the future. who controls the present controls the past. ― george orwell, 1984"," george orwell, 1984",1984
"Mr. moony presents his compliments to professor snape, and begs him to keep his abnormally large nose out of other people's business. mr. prongs agrees with mr. moony, and would like to add that professor snape is an ugly git. mr. padfoot would like to register his astonishment that an idiot like that ever became a professor. mr. wormtail bids professor snape good day, and advises him to wash his hair, the slimeball. ― j.k. rowling, harry potter and the prisoner of azkaban"," j.k. rowling, harry potter and the prisoner of azkaban", harry potter and the prisoner of azkaban
